MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,WetlandLoss,FloodProbability
-2.225768041659047,-1.7728764352750563,-0.45534371039427846,-1.801313662870418,-0.43807351572113695,-0.4397109820722732,2.666809493169136,-0.44349140715937985,0.8937468940682777,-0.8905147743741099,-0.003275656471539389,-0.9003522745964733,-0.4475769442554165,0.45984278267442596,-1.3319886548041122,-0.44434993560646713,-0.4495546863744217,0.365
-2.225768041659047,-1.7728764352750563,-0.45534371039427846,-0.45240506233152655,1.3443378922210707,0.4576592859714922,1.3286200751314425,-1.3343769190997685,-0.002287862851864581,0.891540790144245,-0.003275656471539389,-0.005510440850637179,-0.0020853840432567996,-0.8878718353792164,1.8116061958516554,0.8970610239346358,0.4472424278691674,0.48
-2.225768041659047,-1.7728764352750563,-0.45534371039427846,3.594320739285148,0.8987350402355188,0.9063444199933749,0.43649379643964686,0.44739410478100883,-0.8983226197720068,-0.8905147743741099,1.3457544953383893,-0.005510440850637179,1.3343892965932223,0.010604576656545166,-0.8829036761390026,0.8970610239346358,1.792438099234551,0.555
-2.225768041659047,-1.7728764352750563,-0.00886300194749708,-1.3516774626907875,-1.3292792196922407,-1.3370812501160387,-0.9016956215980467,-0.8889341631295742,0.4457295156082065,-1.3360286655036986,0.8960777780684132,2.6790150603868708,-0.0020853840432567996,0.010604576656545166,0.9134362385214361,0.8970610239346358,0.895640984990962,0.45
-2.225768041659047,-1.7728764352750563,0.8840984149460657,-0.002768862151896018,-0.43807351572113695,1.8037146880371402,0.8825569357855447,-0.44349140715937985,-0.002287862851864581,-0.8905147743741099,-0.003275656471539389,-0.4529313577235552,-0.8930685044675761,0.010604576656545166,0.46435125985632647,0.44992403742093484,-1.7947503577398054,0.435
-2.225768041659047,-1.7728764352750563,1.330579123392847,-0.002768862151896018,-0.43807351572113695,0.008974151949609481,-0.9016956215980467,0.8928368607512032,-1.3463399982320778,-0.8905147743741099,-0.003275656471539389,-0.4529313577235552,-1.3385600646797358,0.010604576656545166,-0.43381869747389284,-1.78576089514757,-1.3463518006180109,0.375
-2.225768041659047,-1.7728764352750563,1.7770598318396285,0.4468673380277345,-0.43807351572113695,-1.7857663841379214,2.666809493169136,-0.8889341631295742,-0.4503052413119357,-0.44500088324452114,2.245107929878342,-0.4529313577235552,0.4434061761689029,0.45984278267442596,-0.43381869747389284,0.44992403742093484,-0.4495546863744217,0.455
-2.225768041659047,-1.3282493629876688,-1.3483051272878412,-1.3516774626907875,-0.43807351572113695,0.9063444199933749,-0.9016956215980467,0.44739410478100883,-0.4503052413119357,0.891540790144245,0.4464010607984369,0.44191047602228084,-0.8930685044675761,-0.4386336293613356,-0.43381869747389284,0.44992403742093484,-0.4495546863744217,0.4
-2.225768041659047,-1.3282493629876688,-0.9018244188410599,-1.3516774626907875,0.007529336264414955,1.3550295540152575,-0.9016956215980467,0.44739410478100883,-0.4503052413119357,-0.44500088324452114,-0.45295237374151565,-0.005510440850637179,-0.4475769442554165,0.9090809886923067,-0.43381869747389284,-0.44434993560646713,-0.8979532434962162,0.395
-2.225768041659047,-1.3282493629876688,-0.9018244188410599,-0.902041262511157,0.8987350402355188,-1.3370812501160387,-0.009569342906251024,0.0019513488108145003,-0.4503052413119357,0.4460268990146563,2.245107929878342,-0.9003522745964733,0.4434061761689029,-1.7863482474149779,-2.2301586121343315,0.0027870509072338676,-0.0011561292526271194,0.37
-2.225768041659047,-1.3282493629876688,-0.9018244188410599,-0.45240506233152655,1.3443378922210707,1.3550295540152575,-1.3477587609439445,-0.44349140715937985,-0.4503052413119357,5.130078850675713E-4,0.8960777780684132,-1.3477731914693913,-0.8930685044675761,1.8075574007280684,0.015266281191216787,0.0027870509072338676,-0.0011561292526271194,0.475
-2.225768041659047,-1.3282493629876688,-0.9018244188410599,0.4468673380277345,0.8987350402355188,-0.8883961160941559,1.3286200751314425,-1.3343769190997685,-0.4503052413119357,0.891540790144245,1.3457544953383893,0.44191047602228084,-0.0020853840432567996,0.010604576656545166,-0.8829036761390026,-1.3386239086338692,-0.8979532434962162,0.405
-2.225768041659047,-1.3282493629876688,-0.9018244188410599,0.8965035382073651,-0.8836763677066888,-1.3370812501160387,0.43649379643964686,1.3382796167213975,-1.794357376692149,-1.7815425566332874,-0.9026290910114919,-0.005510440850637179,1.3343892965932223,0.9090809886923067,-0.43381869747389284,0.8970610239346358,-0.4495546863744217,0.42
-2.225768041659047,-1.3282493629876688,-0.9018244188410599,1.3461397383869955,0.007529336264414955,-0.4397109820722732,-0.009569342906251024,0.44739410478100883,1.78978165098842,-0.8905147743741099,-0.45295237374151565,0.44191047602228084,0.8888977363810626,-0.4386336293613356,-0.8829036761390026,1.3441980104483369,-0.0011561292526271194,0.505
-2.225768041659047,-1.3282493629876688,-0.45534371039427846,-0.902041262511157,-0.8836763677066888,0.008974151949609481,-0.9016956215980467,-0.44349140715937985,0.8937468940682777,0.891540790144245,-1.8019825255514446,-0.9003522745964733,0.8888977363810626,0.010604576656545166,-0.43381869747389284,1.7913349969620378,0.4472424278691674,0.465
-2.225768041659047,-1.3282493629876688,-0.45534371039427846,-0.002768862151896018,0.8987350402355188,-1.7857663841379214,-0.009569342906251024,0.0019513488108145003,-0.4503052413119357,-0.44500088324452114,-1.8019825255514446,-0.005510440850637179,0.4434061761689029,-0.8878718353792164,0.015266281191216787,0.0027870509072338676,-0.0011561292526271194,0.42
